t_s,Ug_a,Ug_b,Ug_c,Ilsc_a,Ilsc_b,Ilsc_c,Imsc_a,Imsc_b,Imsc_c,Is_a,Is_b,Is_c,Ig_a,Ig_b,Ig_c,Udc,Ug_pos_d,Ug_pos_q,Ilsc_pos_d,Ilsc_pos_q,Imsc_pos_d,Imsc_pos_q,Is_pos_d,Is_pos_q,Ig_pos_d,Ig_pos_q,Ug_neg_d,Ug_neg_q,Ilsc_neg_d,Ilsc_neg_q,Imsc_neg_d,Imsc_neg_q,Is_neg_d,Is_neg_q,Ig_neg_d,Ig_neg_q,n
0,-0.934458,0.141943,0.792515,0.124866,-0.0724798,-0.0523864,-0.619885,0.400957,0.218928,-0.19674,0.13116,0.0655801,-0.0718742,0.0586804,0.0131937,1.0008,1.0033,0,0.12915,0.000732422,0.21106,-0.540649,-0.206543,-0.0201416,-0.0773926,-0.0194092,-0.00012207,0.0158691,0.00537109,0.00549316,0.000976563,-0.043335,0.00476074,0.0222168,0.0101318,0.02771,0.911743
0.002,-0.539383,-0.443966,0.983349,0.120561,0.00430573,-0.124866,-0.630954,0.383738,0.247216,-0.187878,0.0248141,0.163064,-0.0673177,0.0291198,0.0381979,0.99998,0.981812,0,0.138428,-0.0032959,0.222046,-0.560059,-0.209961,0.00976563,-0.0715332,0.00646973,-0.00524902,0.00366211,-0.00256348,0.0107422,0.0239258,-0.032959,-0.0134277,0.0162354,-0.0159912,0.0269775,0.911865
0.004,0.0686058,-0.880047,0.811441,0.0538217,0.0717622,-0.125584,-0.616195,0.389888,0.226307,-0.097484,-0.0744423,0.171926,-0.0436623,-0.0026801,0.0463424,1.00039,1.00378,0,0.133057,0.0045166,0.175293,-0.568237,-0.171387,0.0148926,-0.0383301,0.0194092,0.00268555,-0.0167236,0.00854492,-0.00109863,0.0362549,0.0157471,-0.0224609,-0.00939941,-0.013916,-0.010498,0.911865
0.006,0.619029,-0.987292,0.368263,-0.020811,0.110514,-0.0897028,-0.585447,0.307482,0.277964,0.0460833,-0.194968,0.148885,0.0252723,-0.0844542,0.0591819,1.00735,0.994507,0,0.119141,0.00305176,0.22229,-0.585205,-0.203125,0.0227051,-0.0839844,0.0257568,0.00341797,-0.00585938,-0.00292969,0.0098877,0.0231934,-0.0111084,-0.0130615,0.0134277,-0.0159912,0.0233154,0.911865
0.008,0.951018,-0.699463,-0.251555,-0.0789384,0.11482,-0.0358811,-0.614965,0.35176,0.263205,0.13116,-0.189651,0.0584904,0.0522218,-0.0748311,0.0226093,1.00326,0.988159,0,0.113403,-0.0124512,0.161255,-0.586792,-0.182739,0.0437012,-0.0693359,0.03125,0.000366211,0.00195313,-0.0100098,-0.00317383,0.00317383,-0.00292969,-0.00891113,0.00427246,-0.0189209,0.00109863,0.911987
0.01,0.942344,-0.134057,-0.808286,-0.101185,0.0674565,0.0337282,-0.591596,0.269355,0.322242,0.155974,-0.111663,-0.0443109,0.0547897,-0.044207,-0.0105827,1.00367,1.01196,0,0.116943,-0.0090332,0.185425,-0.550415,-0.181763,-0.00378418,-0.0648193,-0.0128174,0.0106201,0.0206299,-0.0100098,0.00195313,-0.00354004,-0.0118408,0.010376,0.0128174,0.000366211,0.0147705,0.912109
0.012,0.550423,0.451063,-1.00149,-0.0925733,-0.000717622,0.0932909,-0.594056,0.242296,0.35176,0.15243,-0.0124071,-0.140022,0.0598563,-0.0131247,-0.0467316,1.0008,0.981323,0,0.114746,-0.0098877,0.190674,-0.533081,-0.187134,0.0180664,-0.0723877,0.00817871,0.0155029,0.00292969,-0.00671387,-0.00219727,-0.00378418,-0.0411377,0.0106201,0.0108643,0.00390625,0.00866699,0.912109
0.014,-0.0599315,0.882412,-0.822481,-0.0337282,-0.0760679,0.109796,-0.568228,0.234917,0.333311,0.0514006,0.0815321,-0.132933,0.0176724,0.00546411,-0.0231365,1.00326,1.01355,0,0.116211,0.00610352,0.154297,-0.535645,-0.143311,-0.0155029,-0.0270996,-0.00939941,0.0117188,-0.00561523,0.00646973,-0.0159912,0.0268555,-0.00244141,-0.0257568,0.0090332,-0.0192871,-0.00695801,0.912109
0.016,-0.612721,0.993601,-0.38088,0.0351635,-0.111231,0.0760679,-0.541169,0.156201,0.384968,-0.0726699,0.177244,-0.104574,-0.0375064,0.0660122,-0.0285058,0.99998,1.00415,0,0.103149,0.00305176,0.186401,-0.532959,-0.176758,0.00939941,-0.0736084,0.0124512,0.00866699,0.00646973,-0.00878906,-0.00878906,0.0187988,0.000366211,-0.0057373,0.0336914,-0.0145264,0.0249023,0.912109
0.018,-0.942344,0.706561,0.235783,0.0918556,-0.11482,0.0229639,-0.563308,0.122993,0.440315,-0.148885,0.182561,-0.0336763,-0.057029,0.0677414,-0.0107124,0.99998,0.989624,0,0.109375,0.000244141,0.167114,-0.57666,-0.162842,0.0205078,-0.0534668,0.020752,-0.00708008,0.00976563,-0.00341797,-0.012085,0.0234375,-0.0270996,-0.0152588,0.0267334,-0.0186768,0.0146484,0.911987
